"filename", "language", "TypeScript", "Markdown", "YAML", "JSON", "MS SQL", "JavaScript", "Docker", "Ignore", "JSON with Comments", "Shell Script", "HTML", "TypeScript JSX", "CSS", "XML", "vue", "NGINX Conf", "comment", "blank", "total"
"/home/orinda/projects/my-app/packages/admin/src/components/home-banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/home/orinda/projects/my-app/packages/admin/src/components/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 6, 59
"/home/orinda/projects/my-app/packages/admin/src/components/max-width.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/orinda/projects/my-app/packages/admin/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"/home/orinda/projects/my-app/packages/admin/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"/home/orinda/projects/my-app/packages/admin/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/home/orinda/projects/my-app/packages/admin/src/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/home/orinda/projects/my-app/packages/admin/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/orinda/projects/my-app/packages/admin/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/orinda/projects/my-app/packages/admin/src/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 13, 158
"/home/orinda/projects/my-app/packages/admin/src/context/actions/auth-actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/home/orinda/projects/my-app/packages/admin/src/context/actions/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/orinda/projects/my-app/packages/admin/src/context/actions/theme-actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/orinda/projects/my-app/packages/admin/src/context/auth-theme-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 12, 80
"/home/orinda/projects/my-app/packages/admin/src/context/reducers/auth-reducer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"/home/orinda/projects/my-app/packages/admin/src/context/reducers/theme-reducer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/orinda/projects/my-app/packages/admin/src/hooks/use-auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 11, 62
"/home/orinda/projects/my-app/packages/admin/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 76
"/home/orinda/projects/my-app/packages/admin/src/layout/context-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/orinda/projects/my-app/packages/admin/src/layout/dashboard-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/orinda/projects/my-app/packages/admin/src/layout/non-auth-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 4, 21
"/home/orinda/projects/my-app/packages/admin/src/layout/protected-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"/home/orinda/projects/my-app/packages/admin/src/lib/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"/home/orinda/projects/my-app/packages/admin/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/orinda/projects/my-app/packages/admin/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/orinda/projects/my-app/packages/admin/src/pages/dashboard/dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/base-error-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 6, 6, 79
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/not-found-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 6, 53
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/unauthorized-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 6, 70
